num_neur,freq,threshold,learning_rate,pre,post,diff
500,50,0.075,5.00E-05,0.5,1,0.5
500,50,0.075,0.0001,0.5,0.9,0.4
500,50,0.075,0.0005,0.5,1,0.5
500,50,0.075,0.001,0.5,0.7,0.2
500,50,0.25,1.00E-05,0.5,1,0.5
500,50,0.25,0.005,0.503,1,0.497
500,50,0.5,1.00E-06,0.5,0.7475,0.2475
500,50,0.5,5.00E-06,0.5,1,0.5
500,50,0.5,1.00E-05,0.5,0.9,0.4
500,50,0.5,5.00E-05,0.5,1,0.5
500,50,0.5,0.0001,0.5,1,0.5
500,50,0.5,0.0005,0.5,1,0.5
500,50,0.5,0.001,0.5,1,0.5
500,50,0.5,0.005,0.5,0.9,0.4
500,50,0.75,5.00E-06,0.5,1,0.5
500,50,0.75,1.00E-05,0.5,1,0.5
500,50,0.75,5.00E-05,0.5,1,0.5
500,50,0.75,0.0001,0.5,1,0.5
500,50,0.75,0.001,0.5,1,0.5
500,50,0.75,0.005,0.5,1,0.5
500,100,0.00025,5.00E-06,0.5,0.765,0.265
500,100,0.00025,5.00E-05,0.5,0.787,0.287
500,100,0.00025,0.0001,0.5,0.545,0.045
500,100,0.0005,1.00E-05,0.5,0.64125,0.14125
500,100,0.0005,5.00E-05,0.5,0.689,0.189
500,100,0.0005,0.0001,0.5,0.687,0.187
500,100,0.0005,0.001,0.5,0.5025,0.0025
500,100,0.00075,5.00E-06,0.5,0.87,0.37
500,100,0.00075,1.00E-05,0.5,0.843333333,0.343333333
500,100,0.00075,5.00E-05,0.5,0.845,0.345
500,100,0.00075,0.0001,0.5,0.639,0.139
500,100,0.00075,0.0005,0.5,0.50125,0.00125
500,100,0.00075,0.001,0.5,0.501,0.001
500,100,0.0025,5.00E-05,0.5,0.821666667,0.321666667
500,100,0.0025,0.0001,0.5,0.991666667,0.491666667
500,100,0.005,5.00E-06,0.5,0.925,0.425
500,100,0.005,5.00E-05,0.5,0.97625,0.47625
500,100,0.005,0.0001,0.5,1,0.5
500,100,0.0075,5.00E-05,0.5,0.99,0.49
500,100,0.0075,0.0001,0.5,0.75,0.25
500,100,0.025,1.00E-05,0.5,1,0.5
500,100,0.025,5.00E-05,0.5,1,0.5
500,100,0.025,0.0001,0.5,0.875,0.375
500,100,0.05,1.00E-06,0.5,1,0.5
500,100,0.05,5.00E-06,0.5,1,0.5
500,100,0.05,1.00E-05,0.5,1,0.5
500,100,0.05,5.00E-05,0.5,0.99625,0.49625
500,100,0.075,5.00E-06,0.5,1,0.5
500,100,0.075,1.00E-05,0.5,1,0.5
500,100,0.075,5.00E-05,0.5,1,0.5
500,100,0.075,0.0001,0.5,0.875,0.375
500,100,0.25,1.00E-06,0.5,1,0.5
500,100,0.25,1.00E-05,0.5,1,0.5
500,100,0.25,0.001,0.499,0.5,0.001
500,100,0.25,0.005,0.5,0.7,0.2
500,100,0.5,1.00E-06,0.5,1,0.5
500,100,0.5,5.00E-06,0.5,1,0.5
500,100,0.5,5.00E-05,0.5,1,0.5
500,100,0.5,0.0001,0.5,1,0.5
500,100,0.5,0.001,0.5,0.666666667,0.166666667
500,100,0.5,0.005,0.5,0.788,0.288
500,100,0.75,5.00E-06,0.5,1,0.5
500,100,0.75,1.00E-05,0.5,1,0.5
500,100,0.75,5.00E-05,0.5,1,0.5
500,100,0.75,0.0001,0.5,1,0.5
500,100,0.75,0.0005,0.5,1,0.5
500,100,0.75,0.001,0.5,0.75,0.25
500,100,0.75,0.005,0.5,0.9,0.4
