num_neur,freq,samp_num,distance,span,threshold,learning_rate,pre,post,diff
1.5e+02,1.0e+02,4.0e+00,3.0e-01,6.0e+00,7.5e-04,1.0e-05,5.0e-01,9.9e-01,4.9e-01
1.5e+02,5.0e+01,0.0e+00,3.0e-01,6.0e+00,7.5e-02,5.0e-06,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,2.0e+00,3.0e-01,6.0e+00,7.5e-01,1.0e-05,5.0e-01,5.0e-01,0.0e+00
3.00e+01,1.50e+01,2.00e+00,3.00e-01,6.00e+00,7.50e-03,1.00e-05,5.00e-01,5.95e-01,9.50e-02
1.50e+02,1.50e+01,4.00e+00,3.00e-01,6.00e+00,7.50e-02,1.00e-04,7.25e-01,1.00e+00,2.75e-01
1.50e+02,1.00e+02,1.00e+00,3.00e-01,6.00e+00,7.50e-04,5.00e-06,5.00e-01,5.05e-01,5.00e-03
1.5e+02,1.0e+02,1.0e+00,3.0e-01,6.0e+00,7.5e-02,1.0e-06,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,0.0e+00,3.0e-01,6.0e+00,2.5e-01,1.0e-03,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-03,5.0e-01,5.0e-01,0.0e+00
3.00e+01,1.50e+01,0.00e+00,3.00e-01,6.00e+00,2.50e-01,5.00e-03,5.00e-01,9.85e-01,4.85e-01
3.0e+01,5.0e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,4.0e+00,3.0e-01,6.0e+00,7.5e-02,1.0e-04,5.0e-01,5.0e-01,0.0e+00
3.0e+01,5.0e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-01,5.0e-03,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,0.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,0.0e+00,3.0e-01,6.0e+00,2.5e-01,5.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,5.0e+01,1.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.5e+01,3.0e+00,3.0e-01,6.0e+00,7.5e-03,1.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,3.0e+00,3.0e-01,6.0e+00,7.5e-03,1.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,4.0e+00,3.0e-01,6.0e+00,2.5e-01,5.0e-04,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,4.0e+00,3.0e-01,6.0e+00,2.5e-01,5.0e-04,5.0e-01,1.0e+00,5.0e-01
1.5e+02,5.0e+01,2.0e+00,3.0e-01,6.0e+00,7.5e-04,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,0.0e+00,3.0e-01,6.0e+00,5.0e-02,5.0e-04,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,4.0e+00,3.0e-01,6.0e+00,2.5e-01,5.0e-04,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,1.0e+00,3.0e-01,6.0e+00,2.5e-02,5.0e-03,5.3e-01,5.0e-01,-3.0e-02
3.0e+01,1.0e+02,1.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,3.0e+00,3.0e-01,6.0e+00,2.5e-03,1.0e-03,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,4.0e+00,3.0e-01,6.0e+00,2.5e-01,5.0e-04,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,1.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,0.0e+00,3.0e-01,6.0e+00,5.0e-02,5.0e-04,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,3.0e+00,3.0e-01,6.0e+00,2.5e-03,1.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,1.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,5.0e+01,0.0e+00,3.0e-01,6.0e+00,7.5e-02,5.0e-06,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,1.0e+00,3.0e-01,6.0e+00,7.5e-04,5.0e-06,5.0e-01,9.7e-01,4.7e-01
3.0e+01,1.0e+02,0.0e+00,3.0e-01,6.0e+00,7.5e-02,5.0e-06,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,0.0e+00,3.0e-01,6.0e+00,7.5e-02,5.0e-06,8.6e-01,1.0e+00,1.4e-01
1.5e+02,1.0e+02,0.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-06,5.0e-01,9.6e-01,4.6e-01
3.0e+01,1.0e+02,2.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-05,5.0e-01,8.6e-01,3.6e-01
1.5e+02,5.0e+01,1.0e+00,3.0e-01,6.0e+00,7.5e-04,1.0e-05,5.0e-01,8.5e-01,3.5e-01
3.0e+01,1.0e+02,3.0e+00,3.0e-01,6.0e+00,7.5e-01,5.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,1.0e+00,3.0e-01,6.0e+00,7.5e-04,5.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,0.0e+00,3.0e-01,6.0e+00,7.5e-01,5.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,3.0e+00,3.0e-01,6.0e+00,7.5e-02,1.0e-04,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,1.0e+00,3.0e-01,6.0e+00,7.5e-01,1.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,2.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-05,5.0e-01,1.0e+00,5.0e-01
1.50e+02,1.50e+01,3.00e+00,3.00e-01,6.00e+00,7.50e-02,1.00e-04,6.75e-01,1.00e+00,3.25e-01
3.0e+01,1.0e+02,2.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-04,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,3.0e+00,3.0e-01,6.0e+00,7.5e-01,5.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-02,5.0e-04,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-04,1.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,1.0e+00,3.0e-01,6.0e+00,2.5e-01,5.0e-04,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-04,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-04,1.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,5.0e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-02,5.0e-04,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,0.0e+00,3.0e-01,6.0e+00,7.5e-01,5.0e-06,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,2.0e+00,3.0e-01,6.0e+00,2.5e-04,1.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,2.0e+00,3.0e-01,6.0e+00,2.5e-02,5.0e-04,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-03,5.0e-04,5.0e-01,1.0e+00,5.0e-01
1.50e+02,5.00e+01,1.00e+00,3.00e-01,6.00e+00,7.50e-04,5.00e-06,5.00e-01,9.15e-01,4.15e-01
3.0e+01,1.5e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-02,1.0e-03,5.0e-01,5.0e-01,0.0e+00
5.0e+02,1.5e+01,1.0e+00,3.0e-01,6.0e+00,7.5e-01,1.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-02,5.0e-04,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-02,1.0e-03,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-02,1.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,0.0e+00,3.0e-01,6.0e+00,2.5e-02,1.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-02,1.0e-03,5.0e-01,1.0e+00,5.0e-01
1.5e+02,5.0e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-02,1.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.5e+01,1.0e+00,3.0e-01,6.0e+00,7.5e-02,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,2.0e+00,3.0e-01,6.0e+00,7.5e-04,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,0.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-06,5.0e-01,8.2e-01,3.2e-01
1.5e+02,1.5e+01,0.0e+00,3.0e-01,6.0e+00,7.5e-01,5.0e-06,5.0e-01,5.0e-01,0.0e+00
3.00e+01,5.00e+01,1.00e+00,3.00e-01,6.00e+00,7.50e-02,1.00e-06,2.65e-01,2.80e-01,1.50e-02
3.0e+01,1.0e+02,1.0e+00,3.0e-01,6.0e+00,7.5e-01,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.5e+01,1.0e+00,3.0e-01,6.0e+00,7.5e-04,5.0e-06,5.0e-01,5.0e-01,0.0e+00
1.50e+02,1.50e+01,1.00e+00,3.00e-01,6.00e+00,7.50e-02,1.00e-06,4.45e-01,4.30e-01,-1.50e-02
1.5e+02,1.5e+01,2.0e+00,3.0e-01,6.0e+00,7.5e-04,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,1.0e+00,3.0e-01,6.0e+00,7.5e-01,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,5.0e+01,1.0e+00,3.0e-01,6.0e+00,7.5e-04,5.0e-06,5.0e-01,6.4e-01,1.4e-01
1.5e+02,1.0e+02,1.0e+00,3.0e-01,6.0e+00,7.5e-01,5.0e-06,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,2.0e+00,3.0e-01,6.0e+00,7.5e-02,5.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.0e+02,1.0e+00,3.0e-01,6.0e+00,7.5e-03,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,3.0e+00,3.0e-01,6.0e+00,7.5e-03,1.0e-04,5.0e-01,1.0e+00,5.0e-01
1.50e+02,5.00e+01,4.00e+00,3.00e-01,6.00e+00,7.50e-04,1.00e-04,5.00e-01,4.85e-01,-1.50e-02
3.0e+01,1.5e+01,2.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-02,1.0e-05,8.8e-01,1.0e+00,1.2e-01
3.0e+01,1.0e+02,4.0e+00,3.0e-01,6.0e+00,7.5e-03,1.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,2.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-06,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,2.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-06,5.0e-01,1.0e+00,5.0e-01
1.50e+02,1.50e+01,1.00e+00,3.00e-01,6.00e+00,2.50e-03,1.00e-04,5.00e-01,9.85e-01,4.85e-01
1.50e+02,1.50e+01,4.00e+00,3.00e-01,6.00e+00,7.50e-03,1.00e-05,5.00e-01,7.55e-01,2.55e-01
1.5e+02,1.0e+02,3.0e+00,3.0e-01,6.0e+00,2.5e-02,1.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,0.0e+00,3.0e-01,6.0e+00,5.0e-04,1.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.5e+01,1.0e+00,3.0e-01,6.0e+00,2.5e-04,1.0e-05,5.0e-01,5.0e-01,0.0e+00
3.00e+01,1.00e+02,3.00e+00,3.00e-01,6.00e+00,2.50e-04,1.00e-04,5.00e-01,5.85e-01,8.50e-02
1.5e+02,1.5e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-02,1.0e-05,5.0e-01,9.6e-01,4.6e-01
3.0e+01,5.0e+01,1.0e+00,3.0e-01,6.0e+00,2.5e-04,1.0e-05,5.0e-01,1.0e+00,5.0e-01
3.e+01,5.e+01,2.e+00,3.e-01,6.e+00,5.e-04,5.e-04,5.e-01,5.e-01,0.e+00
1.5e+02,1.5e+01,3.0e+00,3.0e-01,6.0e+00,2.5e-04,1.0e-04,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,2.0e+00,3.0e-01,6.0e+00,5.0e-02,5.0e-04,6.5e-01,1.0e+00,3.5e-01
3.e+01,1.e+02,2.e+00,3.e-01,6.e+00,5.e-04,5.e-04,5.e-01,5.e-01,0.e+00
1.5e+02,1.5e+01,2.0e+00,3.0e-01,6.0e+00,5.0e-02,5.0e-04,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,1.0e+00,3.0e-01,6.0e+00,2.5e-04,1.0e-05,5.0e-01,8.0e-01,3.0e-01
3.e+01,5.e+01,2.e+00,3.e-01,6.e+00,5.e-04,1.e-03,5.e-01,5.e-01,0.e+00
3.e+01,1.e+02,2.e+00,3.e-01,6.e+00,5.e-04,1.e-03,5.e-01,5.e-01,0.e+00
3.0e+01,1.5e+01,0.0e+00,3.0e-01,6.0e+00,5.0e-03,5.0e-03,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,1.0e+00,3.0e-01,6.0e+00,5.0e-03,1.0e-03,5.0e-01,5.0e-01,0.0e+00
1.50e+02,5.00e+01,0.00e+00,3.00e-01,6.00e+00,2.50e-02,1.00e-05,5.00e-01,9.95e-01,4.95e-01
1.5e+02,1.5e+01,2.0e+00,3.0e-01,6.0e+00,5.0e-04,1.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,2.0e+00,3.0e-01,6.0e+00,5.0e-02,5.0e-04,5.0e-01,5.0e-01,0.0e+00
